     2    0.57212E+03    0.10953E-01    0.19371E-01    0.66670E+00
     3    0.46252E+03    0.11697E-01    0.19805E-01    0.62697E-02
     4    0.43710E+03    0.10578E-01    0.17267E-01   -0.17866E+00
     5    0.42837E+03    0.82908E-02    0.13523E-01   -0.22462E+00
     6    0.42564E+03    0.59660E-02    0.98602E-02   -0.21724E+00
     7    0.42662E+03    0.42798E-02    0.70057E-02   -0.19365E+00
     8    0.42900E+03    0.34073E-02    0.51748E-02   -0.17930E+00
     9    0.43119E+03    0.32626E-02    0.42689E-02   -0.17465E+00
    10    0.43357E+03    0.36000E-02    0.40761E-02   -0.18047E+00
    11    0.43636E+03    0.42071E-02    0.43653E-02   -0.19566E+00
    12    0.43883E+03    0.49665E-02    0.49575E-02   -0.21740E+00
    13    0.44028E+03    0.57976E-02    0.57096E-02   -0.24321E+00
    14    0.44101E+03    0.66829E-02    0.65661E-02   -0.27298E+00
    15    0.44157E+03    0.76209E-02    0.74935E-02   -0.30722E+00
    16    0.44240E+03    0.86101E-02    0.84636E-02   -0.34623E+00
    17    0.44344E+03    0.96487E-02    0.94705E-02   -0.38964E+00
    18    0.44452E+03    0.10735E-01    0.10513E-01   -0.43692E+00
    19    0.44545E+03    0.11867E-01    0.11592E-01   -0.48751E+00
    20    0.44606E+03    0.13043E-01    0.12705E-01   -0.54089E+00
    21    0.44622E+03    0.14261E-01    0.13853E-01   -0.59657E+00
    22    0.44592E+03    0.15520E-01    0.15032E-01   -0.65441E+00
    23    0.44520E+03    0.16818E-01    0.16243E-01   -0.71430E+00
    24    0.44409E+03    0.18154E-01    0.17482E-01   -0.77615E+00
    25    0.44265E+03    0.19527E-01    0.18748E-01   -0.83989E+00
    26    0.44090E+03    0.20935E-01    0.20038E-01   -0.90541E+00
    27    0.43888E+03    0.22376E-01    0.21352E-01   -0.97263E+00
    28    0.43663E+03    0.23850E-01    0.22687E-01   -0.10415E+01
    29    0.43419E+03    0.25355E-01    0.24041E-01   -0.11118E+01
    30    0.43160E+03    0.26889E-01    0.25413E-01   -0.11836E+01
    31    0.42888E+03    0.28451E-01    0.26800E-01   -0.12567E+01
    32    0.42605E+03    0.30039E-01    0.28200E-01   -0.13310E+01
    33    0.42309E+03    0.31653E-01    0.29612E-01   -0.14062E+01
    34    0.42001E+03    0.33290E-01    0.31033E-01   -0.14822E+01
    35    0.41680E+03    0.34948E-01    0.32461E-01   -0.15587E+01
    36    0.41346E+03    0.36627E-01    0.33895E-01   -0.16357E+01
    37    0.40999E+03    0.38324E-01    0.35332E-01   -0.17128E+01
    38    0.40637E+03    0.40039E-01    0.36770E-01   -0.17900E+01
    39    0.40262E+03    0.41769E-01    0.38207E-01   -0.18670E+01
    40    0.39873E+03    0.43512E-01    0.39641E-01   -0.19436E+01
    41    0.39468E+03    0.45268E-01    0.41070E-01   -0.20197E+01
    42    0.39051E+03    0.47035E-01    0.42492E-01   -0.20951E+01
    43    0.38620E+03    0.48810E-01    0.43906E-01   -0.21697E+01
    44    0.38178E+03    0.50593E-01    0.45309E-01   -0.22433E+01
    45    0.37724E+03    0.52381E-01    0.46701E-01   -0.23159E+01
    46    0.37260E+03    0.54173E-01    0.48080E-01   -0.23874E+01
    47    0.36788E+03    0.55966E-01    0.49443E-01   -0.24575E+01
    48    0.36307E+03    0.57760E-01    0.50790E-01   -0.25263E+01
    49    0.35819E+03    0.59552E-01    0.52118E-01   -0.25935E+01
    50    0.35325E+03    0.61341E-01    0.53426E-01   -0.26590E+01
    51    0.34825E+03    0.63126E-01    0.54712E-01   -0.27228E+01
    52    0.34319E+03    0.64904E-01    0.55975E-01   -0.27847E+01
    53    0.33809E+03    0.66674E-01    0.57214E-01   -0.28446E+01
    54    0.33294E+03    0.68435E-01    0.58428E-01   -0.29023E+01
    55    0.32774E+03    0.70185E-01    0.59615E-01   -0.29578E+01
    56    0.32250E+03    0.71923E-01    0.60775E-01   -0.30110E+01
    57    0.31721E+03    0.73647E-01    0.61906E-01   -0.30617E+01
    58    0.31187E+03    0.75357E-01    0.63007E-01   -0.31099E+01
    59    0.30650E+03    0.77050E-01    0.64077E-01   -0.31553E+01
    60    0.30109E+03    0.78726E-01    0.65114E-01   -0.31980E+01
    61    0.29564E+03    0.80382E-01    0.66118E-01   -0.32377E+01
    62    0.29016E+03    0.82018E-01    0.67088E-01   -0.32745E+01
    63    0.28465E+03    0.83632E-01    0.68024E-01   -0.33085E+01
    64    0.27913E+03    0.85223E-01    0.68924E-01   -0.33395E+01
    65    0.27359E+03    0.86790E-01    0.69788E-01   -0.33677E+01
    66    0.26806E+03    0.88332E-01    0.70616E-01   -0.33930E+01
    67    0.26252E+03    0.89847E-01    0.71406E-01   -0.34155E+01
    68    0.25699E+03    0.91334E-01    0.72159E-01   -0.34351E+01
    69    0.25148E+03    0.92792E-01    0.72873E-01   -0.34518E+01
    70    0.24599E+03    0.94220E-01    0.73549E-01   -0.34657E+01
    71    0.24053E+03    0.95617E-01    0.74184E-01   -0.34768E+01
    72    0.23510E+03    0.96980E-01    0.74780E-01   -0.34851E+01
    73    0.22969E+03    0.98310E-01    0.75336E-01   -0.34906E+01
    74    0.22432E+03    0.99605E-01    0.75853E-01   -0.34932E+01
    75    0.21898E+03    0.10086E+00    0.76329E-01   -0.34930E+01
    76    0.21367E+03    0.10209E+00    0.76766E-01   -0.34901E+01
    77    0.20839E+03    0.10327E+00    0.77163E-01   -0.34843E+01
    78    0.20314E+03    0.10441E+00    0.77521E-01   -0.34757E+01
